"Gene_symbol","PC_Direction","NASH_Direction"
"ZNF383","down","up"
"ZNF385B","up","down"
"ZNF385D","down","up"
"ZNF430","down","up"
"ZNF454","down","up"
"ZNF467","up","down"
"ZNF483","down","up"
"ZNF492","down","up"
"ZNF622","up","down"
"ZNF641","up","down"
"ZNF702P","down","up"
"ZNF765","down","up"
"ZNF770","up","down"
"ZNF774","down","up"
"ZNF781","down","up"
"ZNF789","down","up"
"ZNF862","up","down"
"ZNF865","up","down"
