"Gene_symbol","PC_Direction","NAFLD_Direction"
"GGT1","up","down"
"GGT6","down","up"
"GIGYF2","up","down"
"GIPR","down","up"
"GJC1","down","up"
"GLB1L3","down","up"
"GLIS2","down","up"
"GNE","up","down"
"GNG4","down","up"
"GNL3L","up","down"
"GOLGA3","up","down"
"GOLGB1","up","down"
"GOLPH3L","up","down"
"GPC6","down","up"
"GPR137B","up","down"
"GPR160","up","down"
"GPR37L1","down","up"
"GPR85","down","up"
"GPR88","up","down"
"GPX2","down","up"
"GRAMD1A","up","down"
"GRAMD4","up","down"
"GRIA3","down","up"
"GRK2","up","down"
"GRM7","up","down"
"GSTA4","down","up"
"GSTO2","down","up"
"GTF2I","up","down"
"GXYLT1","up","down"
"HACD1","down","up"
"HACD2","up","down"
"HBA2","down","up"
"HBB","down","up"
"HDAC1","up","down"
"HDAC9","up","down"
"HDC","down","up"
"HEATR1","up","down"
"HEATR5B","up","down"
"HECTD4","up","down"
"HERC3","up","down"
"HEY2","up","down"
"HFE","down","up"
"HHAT","down","up"
"HHIPL1","up","down"
"HID1","up","down"
"HIGD1A","down","up"
"HIP1","up","down"
"HIPK2","up","down"
"HK2","up","down"
"HK3","up","down"
"HMGN4","down","up"
"HMGN5","down","up"
"HMOX1","up","down"
"HNRNPL","up","down"
"HNRNPU","up","down"
"HOMER3","up","down"
"HPCAL1","up","down"
"HPS1","down","up"
"HSD17B11","up","down"
"HSPA4L","down","up"
"HTR2B","up","down"
"ICAM1","up","down"
"ICAM3","up","down"
"IDI1","down","up"
"IDUA","up","down"
"IFI27","down","up"
"IFI27L2","down","up"
"IFIT1","down","up"
"IFITM1","down","up"
"IFNGR2","up","down"
"IFT140","up","down"
"IFT43","down","up"
"IGSF6","up","down"
"IGSF8","up","down"
"IL17RB","up","down"
"IL1RL1","down","up"
"ILDR2","down","up"
"INHBE","down","up"
"INTU","down","up"
"IP6K3","down","up"
"IPO4","up","down"
"IQGAP2","up","down"
"IRF3","down","up"
"IRF5","up","down"
"ITIH2","up","down"
"ITPKA","down","up"
"ITPR2","up","down"
"ITPR3","up","down"
"IVD","up","down"
"JPH4","down","up"
"JUN","down","up"
"KAZN","up","down"
"KCNB1","down","up"
"KCNJ10","up","down"
"KCNJ15","down","up"
"KCNJ3","down","up"
"KCNJ6","down","up"
"KCNMB1","down","up"
"KCTD12","up","down"
"KDM1A","up","down"
"KDM5B","up","down"
"KIAA1328","down","up"
"KIF13B","up","down"
"KLHDC8B","down","up"
"KLHL29","down","up"
"KLHL6-AS1","down","up"
"KLK10","down","up"
"L3MBTL3","up","down"
"LAMB3","down","up"
"LAPTM4B","down","up"
"LARP1","up","down"
"LARS2","up","down"
"LAT2","down","up"
"LBH","up","down"
"LETM1","up","down"
"LGALS3","down","up"
"LIG3","up","down"
"LILRA2","up","down"
"LILRB1","up","down"
"LILRB2","up","down"
"LINC00092","down","up"
"LINC00173","down","up"
"LINC00667","down","up"
"LINC00672","down","up"
"LINC00885","down","up"
"LINC00933","down","up"
"LINC00937","down","up"
"LINC00954","down","up"
"LINC00958","down","up"
"LINC01137","down","up"
"LINC01551","down","up"
"LITAF","down","up"
"LMO3","down","up"
"LOC100129175","up","down"
"LOC100131315","up","down"
"LOC100507156","down","up"
"LOC440300","down","up"
"LOC729732","down","up"
"LOC730101","up","down"
"LPCAT1","up","down"
"LRBA","up","down"
"LRP5","up","down"
"LRP8","down","up"
"LRRCC1","down","up"
"LRRN3","down","up"
"LSM6","down","up"
"LSS","down","up"
"MAB21L3","down","up"
"MAML3","up","down"
"MAN2B1","up","down"
