"Gene_symbol","PC_Direction","ALDhep_Direction"
"MAGI2","down","up"
"MAL2","up","down"
"MALRD1","down","up"
"MAML2","down","up"
"MAMSTR","down","up"
"MANEA","up","down"
"MAOA","up","down"
"MAP1A","down","up"
"MAP1B","down","up"
"MAP2K6","up","down"
"MAP3K1","down","up"
"MAP3K11","up","down"
"MAP3K12","down","up"
"MAP6","down","up"
"MAP7","up","down"
"MAP7D1","down","up"
"MAP7D2","down","up"
"MAPK3","down","up"
"MAPKAPK3","up","down"
"MARCO","up","down"
"MARS2","up","down"
"MARVELD1","down","up"
"MAVS","up","down"
"MBD3","up","down"
"MBLAC2","up","down"
"MCAM","down","up"
"MCAT","up","down"
"MCCC1","up","down"
"MCCC2","up","down"
"MCRIP2","up","down"
"MCTS1","up","down"
"MDH2","up","down"
"MEAF6","down","up"
"MECOM","down","up"
"MECP2","down","up"
"MEF2C","down","up"
"MEF2D","down","up"
"MEG3","down","up"
"MEGF6","down","up"
"MEIS3","down","up"
"MEMO1","up","down"
"METAP2","up","down"
"METTL24","down","up"
"METTL26","up","down"
"METTL2B","up","down"
"METTL5","up","down"
"MFAP2","down","up"
"MFSD2A","up","down"
"MFSD3","up","down"
"MGAT4C","down","up"
"MGC16275","down","up"
"MGST2","up","down"
"MIA3","up","down"
"MICAL1","down","up"
"MICAL3","down","up"
"MICALL1","down","up"
"MIEN1","up","down"
"MIF","up","down"
"MIP","up","down"
"MIPEP","up","down"
"MIR100HG","down","up"
"MIR155HG","down","up"
"MIR4300HG","down","up"
"MIR4458HG","up","down"
"MITF","down","up"
"MLEC","up","down"
"MLIP","up","down"
"MLST8","up","down"
"MLX","up","down"
"MMAA","up","down"
"MMADHC","up","down"
"MMP14","down","up"
"MMP16","down","up"
"MMP2","down","up"
"MMP24","down","up"
"MMRN2","down","up"
"MN1","down","up"
"MOB3A","down","up"
"MON1B","up","down"
"MPC2","up","down"
"MPHOSPH10","up","down"
"MPI","up","down"
"MPLKIP","up","down"
"MPND","up","down"
"MPO","up","down"
"MPP3","down","up"
"MPST","up","down"
"MPZ","down","up"
"MRAP2","down","up"
"MRAS","down","up"
"MRC2","down","up"
"MRPL12","up","down"
"MRPL13","up","down"
"MRPL14","up","down"
"MRPL15","up","down"
"MRPL20","up","down"
"MRPL24","up","down"
"MRPL27","up","down"
"MRPL3","up","down"
"MRPL30","up","down"
"MRPL36","up","down"
"MRPL37","up","down"
"MRPL4","up","down"
"MRPL42","up","down"
"MRPL44","up","down"
"MRPL47","up","down"
"MRPL50","up","down"
"MRPL57","up","down"
"MRPL58","up","down"
"MRPS11","up","down"
"MRPS12","up","down"
"MRPS15","up","down"
"MRPS16","up","down"
"MRPS18B","up","down"
"MRPS2","up","down"
"MRPS24","up","down"
"MRPS25","up","down"
"MRPS26","up","down"
"MRPS28","up","down"
"MRPS33","up","down"
"MRPS34","up","down"
"MRPS35","up","down"
"MRPS5","up","down"
"MRPS7","up","down"
"MRPS9","up","down"
"MRS2","up","down"
"MS4A1","down","up"
"MS4A2","down","up"
"MSANTD4","down","up"
"MSH3","up","down"
"MSN","down","up"
"MSRB1","up","down"
"MSRB3","down","up"
"MT1F","up","down"
"MTCH2","up","down"
"MTFR1","up","down"
"MTG1","up","down"
"MTHFD1","up","down"
"MTHFD2L","up","down"
"MTIF2","up","down"
"MTMR11","down","up"
"MTMR9","down","up"
"MTR","down","up"
"MTUS2","up","down"
"MTX2","up","down"
"MUC13","down","up"
"MUC20","down","up"
"MUC5AC","down","up"
"MVP","down","up"
"MX1","down","up"
"MXRA7","down","up"
"MYADM","down","up"
"MYBL1","down","up"
"MYCL","up","down"
"MYCN","down","up"
"MYDGF","up","down"
"MYH11","down","up"
"MYL9","down","up"
"MYO15B","down","up"
"MYO1B","up","down"
"MYO1C","down","up"
"MYO5B","up","down"
"MYOCD","down","up"
"MYOF","down","up"
"MYOM1","down","up"
"MYOZ2","down","up"
"MYRIP","up","down"
"MZT2A","up","down"
"MZT2B","up","down"
"N4BP2","up","down"
"N4BP3","down","up"
"NAA20","up","down"
"NAA50","up","down"
"NAA60","up","down"
"NAAA","up","down"
"NAALADL1","down","up"
"NABP2","up","down"
"NACA","up","down"
"NACAD","down","up"
"NADK","up","down"
"NAPEPLD","up","down"
"NARS2","up","down"
"NAV1","down","up"
"NBL1","down","up"
"NBPF14","up","down"
"NBPF20","up","down"
"NCALD","up","down"
"NCAM1","down","up"
"NCKAP5","up","down"
"NCLN","up","down"
"NDE1","down","up"
"NDN","down","up"
"NDUFA2","up","down"
"NDUFA7","up","down"
"NDUFA8","up","down"
"NDUFAB1","up","down"
"NDUFAF2","up","down"
"NDUFAF3","up","down"
"NDUFAF6","up","down"
"NDUFAF8","up","down"
"NDUFB1","up","down"
"NDUFB10","up","down"
"NDUFB2","up","down"
"NDUFB3","up","down"
"NDUFB4","up","down"
"NDUFB5","up","down"
"NDUFB6","up","down"
"NDUFB9","up","down"
"NDUFS1","up","down"
"NDUFS2","up","down"
"NDUFS3","up","down"
"NDUFS6","up","down"
"NDUFV2","up","down"
"NECTIN1","down","up"
"NECTIN3","up","down"
"NEGR1","down","up"
"NELFCD","up","down"
"NEO1","down","up"
"NES","down","up"
"NET1","up","down"
"NEURL1B","down","up"
"NEXN","down","up"
"NFASC","down","up"
"NFATC4","down","up"
"NFE2","up","down"
"NFKBID","down","up"
"NFS1","up","down"
"NHLRC1","up","down"
"NHP2","up","down"
"NHS","down","up"
"NHSL1","up","down"
"NHSL2","down","up"
"NIP7","up","down"
"NIPA2","up","down"
"NIPSNAP3A","up","down"
"NIT2","up","down"
"NKD1","down","up"
"NLGN1","down","up"
"NLGN2","down","up"
"NLN","up","down"
"NLRP1","down","up"
"NMD3","up","down"
"NME1","up","down"
"NME4","up","down"
"NMRAL1","up","down"
"NMUR1","down","up"
"NNMT","up","down"
"NOC2L","up","down"
"NOL10","up","down"
"NOL11","up","down"
"NOL3","down","up"
"NOL4","up","down"
"NOL6","up","down"
"NOP10","up","down"
"NOP14","up","down"
"NOP16","up","down"
"NOTCH4","down","up"
"NOVA1","down","up"
"NPAS3","down","up"
"NR2F1","down","up"
"NR2F1-AS1","down","up"
"NR2F2-AS1","down","up"
"NR2F6","up","down"
"NR4A1","down","up"
"NR4A2","down","up"
"NRDC","up","down"
"NRG2","down","up"
"NRG3","down","up"
"NRP2","down","up"
"NRXN3","down","up"
"NSA2","up","down"
"NSG1","down","up"
"NSMCE1","up","down"
"NSUN2","up","down"
"NT5DC1","up","down"
"NTHL1","up","down"
"NTRK2","down","up"
"NUCB2","up","down"
"NUDCD2","up","down"
"NUDT17","down","up"
"NUDT19","up","down"
"NUDT4","up","down"
"NUDT5","up","down"
"NUDT6","up","down"
"NUDT8","up","down"
"NUDT9","up","down"
"NUMBL","down","up"
"NUP210","up","down"
"NUPR1","up","down"
"NUS1","up","down"
"NXPE3","down","up"
"OAZ3","up","down"
"OBSCN","down","up"
"OCIAD2","up","down"
"OGDHL","up","down"
"OLFML1","down","up"
"OLFML2A","down","up"
"OLFML3","down","up"
"OMD","down","up"
"OPHN1","down","up"
"OPLAH","up","down"
"OR7E14P","up","down"
"ORC5","up","down"
"OSTC","up","down"
"OXA1L","up","down"
"OXLD1","up","down"
"OXNAD1","up","down"
"OXSM","up","down"
"P2RX1","down","up"
"P3H3","down","up"
"P4HB","up","down"
"PABPC4L","down","up"
"PADI2","down","up"
"PAICS","up","down"
"PAIP2","up","down"
"PAIP2B","up","down"
"PAK1","down","up"
"PAK3","down","up"
"PALD1","down","up"
"PALLD","down","up"
"PAM16","up","down"
"PAOX","up","down"
"PAPLN","down","up"
"PAPPA","down","up"
"PAQR8","down","up"
"PARK7","up","down"
"PARP1","up","down"
"PARP9","up","down"
"PATZ1","up","down"
"PBK","up","down"
"PBLD","up","down"
"PBX1","down","up"
"PCBD1","up","down"
"PCBP2","up","down"
"PCBP4","down","up"
"PCCB","up","down"
"PCDH1","up","down"
"PCDH18","down","up"
"PCDH7","down","up"
"PCDHB3","down","up"
"PCDHGC3","down","up"
"PCM1","down","up"
"PCNA","up","down"
"PCNX3","up","down"
"PCSK5","down","up"
"PCSK6","up","down"
"PCTP","up","down"
"PCYT1B","down","up"
"PDCD2L","up","down"
"PDE10A","down","up"
"PDE3B","up","down"
"PDE4A","down","up"
"PDE4B","down","up"
"PDE5A","down","up"
"PDF","up","down"
"PDGFC","down","up"
"PDGFD","down","up"
"PDGFRA","down","up"
"PDHB","up","down"
"PDIA3","up","down"
"PDIA4","up","down"
"PDIA5","up","down"
"PDIA6","up","down"
"PDLIM4","down","up"
"PDLIM5","up","down"
"PDLIM7","down","up"
"PDPN","down","up"
"PDSS1","up","down"
"PDSS2","up","down"
"PDXP","up","down"
"PDZRN4","down","up"
"PEA15","down","up"
"PEAK1","down","up"
"PELI1","down","up"
"PELI2","down","up"
"PELO","down","up"
"PET100","up","down"
"PEX1","up","down"
"PEX5L","down","up"
"PFKL","up","down"
"PFKP","down","up"
"PGAM5","up","down"
"PGD","up","down"
"PGS1","down","up"
"PHB2","up","down"
"PHF1","down","up"
"PHF11","down","up"
"PHF19","down","up"
"PHKA2","up","down"
"PHLDA3","down","up"
"PHLDB1","down","up"
"PHLDB3","up","down"
"PHYH","up","down"
"PHYHIP","down","up"
"PI15","down","up"
"PI4K2B","up","down"
"PIGO","up","down"
"PIGW","up","down"
"PIK3R6","down","up"
"PINLYP","down","up"
"PIP5K1C","down","up"
"PIP5KL1","down","up"
"PITPNM1","down","up"
"PJA1","down","up"
"PKD2","down","up"
"PKNOX2","down","up"
"PLA1A","up","down"
"PLA2G12A","up","down"
"PLA2G4F","up","down"
"PLA2G5","down","up"
"PLAC9","down","up"
"PLAG1","down","up"
"PLAGL1","down","up"
"PLB1","down","up"
"PLBD1","down","up"
"PLCD3","down","up"
"PLCG2","down","up"
"PLCL1","down","up"
"PLCXD2","up","down"
"PLEKHA2","down","up"
"PLEKHA7","up","down"
"PLEKHG4B","down","up"
"PLEKHG5","down","up"
"PLEKHH2","down","up"
"PLEKHO1","down","up"
"PLK2","down","up"
"PLN","down","up"
"PLP2","down","up"
"PLTP","down","up"
"PMP22","down","up"
"PMPCA","up","down"
"PMPCB","up","down"
"PNKD","up","down"
"PNMA1","down","up"
"PNP","up","down"
"PNPO","up","down"
"POC1A","up","down"
"PODN","down","up"
"POF1B","down","up"
"POLD2","up","down"
"POLDIP2","up","down"
"POLE3","up","down"
"POLR1B","up","down"
"POLR2D","up","down"
"POLR2F","up","down"
"POLR3B","up","down"
"POLR3H","up","down"
"POM121L9P","down","up"
"POMP","up","down"
"POP7","up","down"
"POTEI","down","up"
"PPA1","up","down"
"PPA2","up","down"
"PPARD","down","up"
"PPAT","up","down"
"PPIA","up","down"
"PPIB","up","down"
"PPIL1","up","down"
"PPM1E","up","down"
"PPM1M","down","up"
"PPP1CC","up","down"
"PPP1R12A","down","up"
"PPP1R12B","down","up"
"PPP1R13L","down","up"
"PPP1R15A","down","up"
"PPP2R2A","up","down"
"PPP2R2B","down","up"
"PPP2R2D","up","down"
"PPP4R3B","up","down"
"PRCD","down","up"
"PRDM5","down","up"
"PRDM6","down","up"
"PRDM8","down","up"
"PRDX2","up","down"
"PRDX3","up","down"
"PRDX4","up","down"
"PRELID1","up","down"
"PRELP","down","up"
"PREP","up","down"
"PRG4","up","down"
"PRICKLE1","down","up"
"PRICKLE2","down","up"
"PRKCSH","up","down"
"PRKG1","down","up"
"PRKY","down","up"
"PRMT6","up","down"
"PRND","down","up"
"PROS1","up","down"
"PROX1","up","down"
"PRPH2","down","up"
"PRPSAP1","up","down"
"PRRT2","down","up"
"PRRX1","down","up"
"PRSS35","down","up"
"PRTFDC1","down","up"
"PSAT1","up","down"
"PSMA1","up","down"
"PSMA3","up","down"
"PSMA5","up","down"
"PSMA6","up","down"
"PSMA7","up","down"
"PSMB1","up","down"
"PSMB3","up","down"
"PSMB5","up","down"
"PSMB7","up","down"
"PSMD1","up","down"
"PSMD11","up","down"
"PSMD3","up","down"
"PSMD6","up","down"
"PSME2","up","down"
"PSMG4","up","down"
"PTCHD1","down","up"
"PTDSS1","up","down"
"PTGDR","down","up"
"PTGDS","down","up"
"PTGER2","down","up"
"PTGES3","up","down"
"PTGIS","down","up"
"PTGR1","up","down"
"PTN","down","up"
"PTPN14","down","up"
"PTPN3","up","down"
"PTPRH","down","up"
"PTPRM","down","up"
"PTPRQ","down","up"
"PTPRT","up","down"
"PTPRU","down","up"
"PTPRZ1","down","up"
"PTRH2","up","down"
"PTRHD1","up","down"
"PTS","up","down"
"PUS1","up","down"
"PUS10","up","down"
"PUS3","up","down"
"PYGB","down","up"
"PYURF","up","down"
"QTRT1","up","down"
"RAB17","up","down"
"RAB20","up","down"
"RAB26","up","down"
"RAB30","up","down"
"RAB34","down","up"
"RAB38","down","up"
"RAB40A","down","up"
"RAB43","up","down"
"RAB7B","down","up"
"RAB9B","down","up"
"RAC3","up","down"
"RACK1","up","down"
"RAD23B","up","down"
"RAD51B","down","up"
"RAI1","down","up"
"RAI2","down","up"
"RALGAPA2","up","down"
"RAMP2","down","up"
"RANBP1","up","down"
"RAPGEF1","down","up"
"RARB","down","up"
"RARG","down","up"
"RASA3","down","up"
"RASA4","down","up"
"RASA4B","down","up"
"RASD1","down","up"
"RASGRF1","down","up"
"RASGRF2","down","up"
"RASL11B","down","up"
"RASL12","down","up"
"RASSF4","down","up"
"RASSF8","down","up"
"RAVER2","down","up"
"RBCK1","up","down"
"RBM7","up","down"
"RBMS1","down","up"
"RBMS2","down","up"
"RBMS3","down","up"
"RBP1","down","up"
"RBP7","down","up"
"RBPMS","down","up"
"RBPMS2","down","up"
"RBX1","up","down"
"RCAN2","down","up"
"RCAN3","down","up"
"RCC1L","up","down"
"RCL1","up","down"
"RDH11","up","down"
"RECK","down","up"
"RELN","up","down"
"REM2","down","up"
"REPIN1","up","down"
"REPS2","up","down"
"RERG","down","up"
"RET","up","down"
"RFFL","up","down"
"RFK","up","down"
"RFT1","up","down"
"RGCC","down","up"
"RGMB","up","down"
"RGPD2","down","up"
"RGPD3","up","down"
"RGS9","down","up"
"RGSL1","down","up"
"RHOBTB1","down","up"
"RHOJ","down","up"
"RHOQ","down","up"
"RHOU","up","down"
"RIC3","down","up"
"RIMKLB","down","up"
"RIMS2","up","down"
"RIMS3","down","up"
"RIN1","down","up"
"RIPK3","down","up"
"RITA1","up","down"
"RMI1","up","down"
"RMND1","up","down"
"RMST","down","up"
"RN7SK","up","down"
"RNASE7","down","up"
"RNASEH2C","up","down"
"RNF112","down","up"
"RNF122","down","up"
"RNF125","up","down"
"RNF150","down","up"
"RNF182","down","up"
"RNF207","down","up"
"ROBO1","down","up"
"ROBO3","down","up"
"ROMO1","up","down"
"ROR1","down","up"
"ROR2","down","up"
"RORC","up","down"
"RPA3","up","down"
"RPF2","up","down"
"RPH3AL","up","down"
"RPL10","up","down"
"RPL10A","up","down"
"RPL11","up","down"
"RPL13","up","down"
"RPL13A","up","down"
"RPL13AP20","up","down"
"RPL14","up","down"
"RPL15","up","down"
"RPL17","up","down"
"RPL18","up","down"
"RPL18A","up","down"
"RPL19","up","down"
"RPL21","up","down"
"RPL22","up","down"
"RPL22L1","up","down"
"RPL23","up","down"
"RPL23A","up","down"
"RPL24","up","down"
"RPL26","up","down"
"RPL26L1","up","down"
"RPL27","up","down"
"RPL27A","up","down"
"RPL28","up","down"
"RPL29","up","down"
"RPL3","up","down"
"RPL30","up","down"
"RPL31","up","down"
"RPL32","up","down"
"RPL34","up","down"
"RPL35","up","down"
"RPL35A","up","down"
"RPL36","up","down"
"RPL37","up","down"
"RPL37A","up","down"
"RPL38","up","down"
"RPL39","up","down"
"RPL4","up","down"
"RPL41","up","down"
"RPL5","up","down"
"RPL6","up","down"
"RPL7","up","down"
"RPL7A","up","down"
"RPL7L1","up","down"
"RPL8","up","down"
"RPLP0","up","down"
"RPLP1","up","down"
"RPLP2","up","down"
"RPN1","up","down"
"RPN2","up","down"
"RPP25L","up","down"
"RPP40","up","down"
"RPRD1B","up","down"
"RPS10","up","down"
"RPS11","up","down"
"RPS12","up","down"
"RPS13","up","down"
"RPS14","up","down"
"RPS15","up","down"
"RPS15A","up","down"
"RPS16","up","down"
"RPS17","up","down"
"RPS18","up","down"
"RPS19","up","down"
"RPS19BP1","up","down"
"RPS2","up","down"
"RPS20","up","down"
"RPS21","up","down"
"RPS23","up","down"
"RPS24","up","down"
"RPS25","up","down"
"RPS27","up","down"
"RPS27A","up","down"
"RPS28","up","down"
"RPS29","up","down"
"RPS3","up","down"
"RPS3A","up","down"
"RPS4X","up","down"
"RPS5","up","down"
"RPS6","up","down"
"RPS6KA5","down","up"
"RPS6KB2","up","down"
"RPS7","up","down"
"RPS8","up","down"
"RPSA","up","down"
"RPTOR","down","up"
"RRAS","down","up"
"RRN3P2","down","up"
"RSAD1","up","down"
"RSL24D1","up","down"
"RTN4RL2","up","down"
"RUSC2","down","up"
"RUVBL2","up","down"
"RYR2","down","up"
"S100A1","up","down"
"S100A6","down","up"
"SAA1","up","down"
"SAA2","up","down"
"SAC3D1","up","down"
"SACS","down","up"
"SAMD11","down","up"
"SAMD5","up","down"
"SAMD9","down","up"
"SAMM50","up","down"
"SAP18","up","down"
"SAT1","up","down"
"SBSPON","down","up"
"SCAMP3","up","down"
"SCAND1","up","down"
"SCARB1","up","down"
"SCARB2","up","down"
"SCG2","down","up"
"SCN2A","up","down"
"SCN2B","down","up"
"SCN3A","down","up"
"SCN7A","down","up"
"SCNN1A","down","up"
"SCOC","up","down"
"SCP2","up","down"
"SCPEP1","down","up"
"SCRN1","down","up"
"SCUBE2","down","up"
"SDF2L1","up","down"
"SDHAF1","up","down"
"SDHAF3","up","down"
"SDHB","up","down"
"SDS","up","down"
"SDSL","up","down"
"SEC11A","up","down"
"SEC11C","up","down"
"SEC14L6","down","up"
"SEC16A","up","down"
"SEC23B","up","down"
"SEC24A","up","down"
"SEC61A1","up","down"
"SEC61B","up","down"
"SEC61G","up","down"
"SECTM1","down","up"
"SEL1L","up","down"
"SELENOH","up","down"
"SELENOI","up","down"
"SELENOM","down","up"
"SEMA3A","down","up"
"SEMA3B","down","up"
"SEMA3C","down","up"
"SEMA3D","down","up"
"SEMA3F","down","up"
"SEMA4B","up","down"
"SEMA4D","down","up"
"SEMA4F","down","up"
"SEMA7A","down","up"
"SEPHS2","up","down"
"SERBP1","up","down"
"SERF2","up","down"
"SERINC5","up","down"
"SERP1","up","down"
"SERPINA11","up","down"
"SERPINA3","up","down"
"SERPINB1","down","up"
"SERPINE2","down","up"
"SET","up","down"
"SETBP1","down","up"
"SF3B6","up","down"
"SFMBT2","down","up"
"SFXN2","up","down"
"SFXN3","down","up"
"SFXN4","up","down"
"SGCA","down","up"
"SGCB","down","up"
"SGCD","down","up"
"SGMS2","up","down"
"SGSM2","down","up"
"SH2D2A","down","up"
"SH2D3A","down","up"
"SH2D3C","down","up"
"SH2D4A","up","down"
"SH3BGRL","down","up"
"SH3BP1","down","up"
"SH3BP5","down","up"
"SH3GL3","down","up"
"SH3PXD2B","down","up"
"SHC3","down","up"
"SHH","up","down"
"SHMT2","up","down"
"SHPK","up","down"
"SHROOM4","down","up"
"SIGIRR","up","down"
"SIK1","down","up"
"SIL1","up","down"
"SLBP","up","down"
"SLC12A4","down","up"
"SLC13A3","up","down"
"SLC16A1","up","down"
"SLC18B1","down","up"
"SLC19A1","up","down"
"SLC19A2","up","down"
"SLC22A10","up","down"
"SLC22A15","down","up"
"SLC22A17","down","up"
"SLC22A23","up","down"
"SLC24A3","down","up"
"SLC25A10","up","down"
"SLC25A13","up","down"
"SLC25A15","up","down"
"SLC25A17","up","down"
"SLC25A22","up","down"
"SLC25A25","up","down"
"SLC25A27","up","down"
"SLC25A3","up","down"
"SLC25A33","up","down"
"SLC25A39","up","down"
"SLC25A42","up","down"
"SLC25A48","up","down"
"SLC25A5","up","down"
"SLC26A1","up","down"
"SLC26A10","down","up"
"SLC27A2","up","down"
"SLC27A5","up","down"
"SLC2A10","up","down"
"SLC30A5","up","down"
"SLC33A1","up","down"
"SLC35A3","up","down"
"SLC35B1","up","down"
"SLC35F1","down","up"
"SLC38A1","down","up"
"SLC38A11","up","down"
"SLC39A10","down","up"
"SLC39A14","up","down"
"SLC39A7","up","down"
"SLC39A8","up","down"
"SLC39A9","up","down"
"SLC3A1","up","down"
"SLC41A1","down","up"
"SLC43A1","up","down"
"SLC44A4","up","down"
"SLC45A4","down","up"
"SLC46A1","up","down"
"SLC4A11","down","up"
"SLC4A3","down","up"
"SLC4A4","up","down"
"SLC50A1","up","down"
"SLC52A1","down","up"
"SLC5A6","up","down"
"SLC6A1","up","down"
"SLC6A6","down","up"
"SLC9A1","down","up"
"SLCO1A2","up","down"
"SLCO1B3","up","down"
"SLCO1B7","up","down"
"SLCO3A1","down","up"
"SLCO5A1","down","up"
"SLFN12","down","up"
"SLFN13","down","up"
"SLIRP","up","down"
"SLIT2","down","up"
"SLIT3","down","up"
"SLPI","up","down"
"SMAD3","down","up"
"SMARCD3","down","up"
"SMCO4","up","down"
"SMG6","down","up"
"SMIM10","down","up"
"SMIM14","up","down"
"SMIM20","up","down"
"SMIM4","up","down"
"SMPD3","up","down"
"SNAP25","down","up"
"SNAP29","up","down"
"SNCAIP","down","up"
"SNCG","down","up"
"SNF8","up","down"
"SNHG16","up","down"
"SNHG8","up","down"
"SNHG9","up","down"
"SNPH","down","up"
"SNRPB","up","down"
"SNRPD2","up","down"
"SNRPD3","up","down"
"SNRPE","up","down"
"SNRPF","up","down"
"SNRPG","up","down"
"SNTG2","down","up"
"SNX10","up","down"
"SNX4","up","down"
"SNX5","up","down"
"SOBP","down","up"
"SOD3","down","up"
"SOGA3","down","up"
"SOWAHB","up","down"
"SOX6","down","up"
"SP100","down","up"
"SP140L","down","up"
"SPACA6","down","up"
"SPAG5","up","down"
"SPARCL1","down","up"
"SPATA18","down","up"
"SPATA24","up","down"
"SPATA6","down","up"
"SPECC1","down","up"
"SPG21","up","down"
"SPIB","down","up"
"SPON1","down","up"
"SPRED1","down","up"
"SPRY1","down","up"
"SPRYD4","up","down"
"SPTAN1","down","up"
"SPTBN2","up","down"
"SRD5A1","up","down"
"SREBF1","up","down"
"SRP19","up","down"
"SRP54","up","down"
"SRP72","up","down"
"SRPK1","up","down"
"SRPRB","up","down"
"SRRM3","down","up"
"SRSF9","up","down"
"SS18L1","up","down"
"SS18L2","up","down"
"SSBP1","up","down"
"SSPN","down","up"
"SSR4","up","down"
"SSRP1","up","down"
"SSTR1","up","down"
"SSU72","up","down"
"ST7","up","down"
"ST8SIA1","down","up"
"STARD7","up","down"
"STARD9","down","up"
"STEAP1","up","down"
"STEAP3","up","down"
"STK16","up","down"
"STK24","down","up"
"STK32A","down","up"
"STK32B","down","up"
"STK35","up","down"
"STMN3","down","up"
"STOML2","up","down"
"STPG1","down","up"
"STRAP","up","down"
"STT3A","up","down"
"STUM","down","up"
"STX7","down","up"
"SUCNR1","up","down"
"SUGCT","up","down"
"SULT1A1","up","down"
"SULT2B1","down","up"
"SURF4","up","down"
"SV2A","down","up"
"SVIL","down","up"
"SYBU","up","down"
"SYDE1","down","up"
"SYNGAP1","down","up"
"SYNGR1","down","up"
"SYNJ2BP","up","down"
"SYNPO2","down","up"
"SYT11","down","up"
"SYTL1","down","up"
"SYTL3","down","up"
"TACC1","down","up"
"TACC2","down","up"
"TAF6L","up","down"
"TAF7","up","down"
"TAF9","up","down"
"TALDO1","up","down"
"TARBP2","up","down"
"TAX1BP3","down","up"
"TBC1D16","up","down"
"TBC1D9B","up","down"
"TBCA","up","down"
"TBKBP1","down","up"
"TBRG4","up","down"
"TBX15","up","down"
"TBX19","down","up"
"TBX2","down","up"
"TCEA3","up","down"
"TCEAL3","down","up"
"TCEAL7","down","up"
"TCF4","down","up"
"TDO2","up","down"
"TDRD7","down","up"
"TEAD2","down","up"
"TEN1","up","down"
"TEPP","down","up"
"TES","down","up"
"TFAM","up","down"
"TFB2M","up","down"
"TFCP2L1","down","up"
"TFDP1","up","down"
"TGFB1I1","down","up"
"TGFB2","down","up"
"TGFB3","down","up"
"THADA","up","down"
"THAP4","up","down"
"THEM6","up","down"
"THNSL1","up","down"
"THOC3","up","down"
"THOC7","up","down"
"THRA","down","up"
"THRB","up","down"
"THSD7B","down","up"
"TIE1","down","up"
"TIFA","up","down"
"TIGD2","up","down"
"TIMELESS","up","down"
"TIMM10","up","down"
"TIMM13","up","down"
"TIMM17A","up","down"
"TIMM23","up","down"
"TIMM8A","up","down"
"TIMM8B","up","down"
"TIMM9","up","down"
"TIMMDC1","up","down"
"TIMP2","down","up"
"TINCR","down","up"
"TK1","up","down"
"TK2","up","down"
"TKFC","up","down"
"TKT","up","down"
"TLCD1","up","down"
"TLDC2","down","up"
"TLL1","down","up"
"TLR5","down","up"
"TM7SF2","up","down"
"TMA7","up","down"
"TMBIM1","down","up"
"TMED2","up","down"
"TMEM106A","down","up"
"TMEM129","up","down"
"TMEM132C","down","up"
"TMEM134","up","down"
"TMEM135","up","down"
"TMEM150C","up","down"
"TMEM158","down","up"
"TMEM161A","up","down"
"TMEM167A","up","down"
"TMEM183A","up","down"
"TMEM198B","down","up"
"TMEM200B","down","up"
"TMEM200C","down","up"
"TMEM205","up","down"
"TMEM208","up","down"
"TMEM233","down","up"
"TMEM237","down","up"
"TMEM238","up","down"
"TMEM252","down","up"
"TMEM256","up","down"
"TMEM258","up","down"
"TMEM43","down","up"
"TMEM51","down","up"
"TMEM51-AS1","down","up"
"TMEM52","up","down"
"TMEM88","down","up"
"TMEM92-AS1","down","up"
"TMEM97","up","down"
"TMOD2","down","up"
"TMSB15B","down","up"
"TMTC4","up","down"
"TNC","down","up"
"TNFAIP3","down","up"
"TNFAIP8","down","up"
"TNFRSF10C","down","up"
"TNFRSF19","down","up"
"TNFRSF25","down","up"
"TNFSF10","up","down"
"TNFSF11","down","up"
"TNIK","down","up"
"TNN","up","down"
"TNS1","down","up"
"TOM1L1","up","down"
"TOMM20","up","down"
"TOMM22","up","down"
"TOMM40","up","down"
"TOMM5","up","down"
"TOMM70","up","down"
"TOP2B","up","down"
"TOR1B","up","down"
"TPBG","down","up"
"TPI1","up","down"
"TPM1","down","up"
"TPM2","down","up"
"TPM4","down","up"
"TPRN","up","down"
"TPT1","up","down"
"TPTEP1","down","up"
"TRAF1","down","up"
"TRAF5","down","up"
"TRAF7","up","down"
"TRAM2","up","down"
"TRAP1","up","down"
"TRAPPC5","up","down"
"TRAPPC6A","up","down"
"TRERF1","down","up"
"TRG-AS1","down","up"
"TRIB1","up","down"
"TRIB3","up","down"
"TRIM22","down","up"
"TRIM63","down","up"
"TRIM9","down","up"
"TRIOBP","down","up"
"TRIP10","down","up"
"TRMT10A","up","down"
"TRMT10C","up","down"
"TRNP1","down","up"
"TRO","down","up"
"TRPC1","down","up"
"TRPC4","down","up"
"TRPC6","down","up"
"TRPM4","up","down"
"TRPM8","up","down"
"TRPS1","down","up"
"TRPT1","up","down"
"TRUB2","up","down"
"TSFM","up","down"
"TSHZ3","down","up"
"TSPAN1","up","down"
"TSPAN18","down","up"
"TSPAN32","down","up"
"TSPOAP1-AS1","down","up"
"TSPYL2","down","up"
"TSPYL4","down","up"
"TSPYL5","down","up"
"TSTD1","up","down"
"TTC36","up","down"
"TTC38","up","down"
"TTLL12","up","down"
"TTLL3","down","up"
"TTLL5","down","up"
"TTR","up","down"
"TTYH2","down","up"
"TUBA1A","down","up"
"TUBA4A","down","up"
"TUBB2A","up","down"
"TUBB4B","up","down"
"TUBB6","down","up"
"TUBG2","down","up"
"TUFM","up","down"
"TUSC1","up","down"
"TUT1","up","down"
"TVP23A","down","up"
"TWF1","up","down"
